Age;Income_Level;Employment_Status;Contribution_Years;Interest_Rate;Inflation_Rate;Stock_Index;Bond_Yield;Market_Volatility;Fund_Size;Contribution_Amount;Fund_Return_Rate;Year;Month Number;Month;Date;Pension_Price;Pension_Category;Risk_Tolerance
64;62591;Unemployed;16;9.71;7.26;7355.1;5;18.98;284638.17;928.99;3.28;2005;7;julio;jul-05;2.812.504.432;Low_Value;High
40;65294;Employed;27;4.43;5.84;14848.23;5.44;30.57;200049.2;4354.83;6.08;2005;5;mayo;may-05;1.846.836.334;High_Value;Medium
59;129362;Unemployed;27;7.86;4.34;9501.96;2.87;16.72;315659.84;1654.1;11.06;2005;2;febrero;feb-05;9.243.423.189;Moderate_Value;Low
57;138414;Employed;9;8.51;4.41;13547.84;3.56;37.33;355876.55;2279.33;9.72;2005;5;mayo;may-05;4.656.793.896;Moderate_Value;Medium
37;105425;Unemployed;13;7.1;5.17;14104.6;4.27;23.85;435740.26;2463.12;9.36;2005;7;julio;jul-05;6.710.038.072;Moderate_Value;Medium
57;149170;Employed;24;8.87;3.08;12769.43;3.21;23.29;140347.08;3325.27;8.25;2005;12;diciembre;dic-05;1.320.518.993;High_Value;Medium
30;99019;Employed;23;4.35;4.72;11421.58;4.91;38.65;422725.27;4833.65;9.25;2005;8;agosto;ago-05;1.842.498.864;High_Value;Low
50;85638;Employed;12;8.21;3.34;9353.16;4.11;10.61;149509.13;3531.77;10.24;2005;7;julio;jul-05;7.403.779.625;Moderate_Value;High
51;42409;Employed;5;9.86;7.4;13391.65;1.87;31.64;179418.18;3010.45;9.55;2005;7;julio;jul-05;3.722.218.819;Low_Value;High
45;139625;Employed;29;6.73;7.87;14959.57;2.15;33.94;40143.98;1309.4;9.13;2005;12;diciembre;dic-05;7.352.806.933;Moderate_Value;Medium
59;76724;Unemployed;14;8.37;3.83;12678.34;5.59;23.57;269484.25;4148.93;3.27;2005;1;enero;ene-05;9.398.304.849;Moderate_Value;High
53;90207;Employed;17;8.26;6.9;6019.11;4.26;26.77;132906.88;2708.83;5.64;2005;5;mayo;may-05;7.534.682.529;Moderate_Value;High
47;46154;Unemployed;32;6.57;4.48;14038.66;3.56;20.71;285034.38;3119.67;6.37;2005;6;junio;jun-05;1.612.119.594;High_Value;Low
56;36767;Unemployed;16;3.52;4.46;10811.89;3.01;11.49;311969.5;3333.95;7.51;2005;6;junio;jun-05;8.797.953.808;Moderate_Value;Low
57;46440;Unemployed;22;8.92;3.42;11510.12;1.99;39.98;462766.33;3589.66;9.12;2005;5;mayo;may-05;1.294.776.752;High_Value;Low
29;76325;Employed;10;5.08;7.8;4219.43;3.51;16.01;295450.2;4870.73;11.62;2005;4;abril;abr-05;8.178.966.279;Moderate_Value;Low
47;128744;Unemployed;26;4.58;2.93;11104.31;3.5;13.13;309905.19;3664.18;10.42;2005;1;enero;ene-05;1.519.854.053;High_Value;Low
49;33193;Employed;8;7.45;5.55;5945.45;5.03;12.21;136864.24;3935.31;3.9;2005;3;marzo;mar-05;5.473.406.873;Moderate_Value;High
56;45634;Unemployed;17;7.23;7.09;13419.33;3.47;16.5;142203.05;4313.71;4.06;2005;10;octubre;oct-05;1.195.938.055;High_Value;Low
25;80403;Employed;12;3.34;2.09;11777.02;1.75;21.78;102066.91;1855.89;11.96;2005;1;enero;ene-05;454.193.483;Moderate_Value;Medium
48;72510;Employed;7;3.7;6.99;9374.41;2.36;34.61;321434.69;3898.32;12;2005;9;septiembre;sep-05;5.121.564.992;Moderate_Value;Low
43;32501;Unemployed;31;7.06;4.8;9798.35;4.55;22.84;303666.71;3493.9;8.02;2005;8;agosto;ago-05;1.701.126.896;High_Value;Low
31;109102;Unemployed;5;4.61;2.18;3901.4;3.98;12.17;483931.18;2128.56;7.17;2005;6;junio;jun-05;3.806.924.926;Low_Value;High
55;88348;Unemployed;15;3.34;6.6;10239.42;3.78;19.59;492918.92;3325.35;10.46;2005;10;octubre;oct-05;8.059.031.239;Moderate_Value;High
38;132885;Employed;19;9.79;3.36;6529.55;5.67;28.93;388104.77;1184.02;7.98;2005;11;noviembre;nov-05;4.370.235.858;Low_Value;High
64;57790;Employed;25;5.4;3.5;2096.89;4.35;21.23;125892.15;3153.37;11.5;2005;12;diciembre;dic-05;1.313.076.982;High_Value;Medium
32;22484;Unemployed;1;6.67;6;14138.08;5.8;13.41;354077.06;759.58;4.69;2005;6;junio;jun-05;5.571.145.369;Low_Value;Medium
52;113386;Employed;11;4.64;4.67;7313.52;4.4;16.22;438969.67;4045.02;5.69;2005;2;febrero;feb-05;8.123.760.795;Moderate_Value;Low
25;68861;Unemployed;18;4.57;6.17;9431.03;2.56;37.21;251943.48;2643;6.77;2005;8;agosto;ago-05;8.951.078.247;Moderate_Value;Medium
49;142850;Unemployed;6;7.53;5.66;7823.55;5.28;25.03;181039.67;1737.76;6.73;2005;8;agosto;ago-05;3.017.071.106;Low_Value;Medium
39;90085;Employed;20;3.63;4.73;12034.68;4.34;38.24;339862.48;3759.07;7.16;2005;6;junio;jun-05;1.201.987.862;High_Value;High
33;96438;Employed;16;3.52;2.23;9960.57;3.11;39.52;419481.38;3178.86;7.56;2005;10;octubre;oct-05;7.886.255.462;Moderate_Value;Low
58;33746;Employed;31;7.45;3.22;3167.07;3.26;39.85;156712.36;2891.35;11.66;2005;5;mayo;may-05;1.502.711.136;High_Value;High
34;77564;Employed;5;3.84;3.89;10170.2;5.38;34.6;153962.51;1967.17;10.62;2005;3;marzo;mar-05;3.293.946.277;Low_Value;Low
25;113960;Employed;16;7.34;3.88;4282.44;5.42;19.94;304913.81;1643.14;4.34;2005;4;abril;abr-05;4.461.368.712;Low_Value;High
53;86224;Unemployed;20;3.61;6.57;6982.06;1.09;29.71;497082.22;1325.51;11.22;2005;8;agosto;ago-05;53.373.394;Moderate_Value;Medium
